photometry of cepheid V16 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      25.78
943.937      25.86
951.310      26.07
953.659      26.32
956.204      26.32
959.223      26.15
962.309      26.48
965.728      26.50
969.414      25.64
974.238      25.46
980.270      26.05
985.295      26.10
