photometry of cepheid V5 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      25.86
943.937      25.97
951.310      26.29
953.659      26.29
956.204      26.12
959.223      26.33
962.309      26.35
965.728      26.47
969.414      26.68
974.238      26.48
980.270      25.53
985.295      25.79
