photometry of cepheid V31 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      25.73
943.937      26.56
951.310      26.70
953.659      26.09
956.204      25.61
959.223      25.72
962.309      25.83
965.728      26.32
969.414      26.15
974.238      26.16
980.270      26.62
985.295      25.46
