photometry of cepheid V17 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      25.97
943.937      26.15
951.310      25.12
953.659      25.21
956.204      25.38
959.223      25.35
962.309      25.50
965.728      25.63
969.414      25.77
974.238      25.88
980.270      26.02
985.295      25.50
