photometry of cepheid V7 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      26.23
943.937      25.02
951.310      25.32
953.659      25.47
956.204      25.57
959.223      25.54
962.309      25.61
965.728      25.53
969.414      25.85
974.238      26.14
980.270      26.06
985.295      24.70
