photometry of cepheid V20 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      26.38
943.937      26.84
951.310      25.77
953.659      25.48
956.204      25.65
959.223      25.84
962.309      25.83
965.728      25.99
969.414      26.21
974.238      26.12
980.270      26.64
985.295      25.43
