photometry of cepheid V19 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      25.97
943.937      26.47
951.310      26.72
953.659      26.57
956.204      26.42
959.223      25.66
962.309      25.77
965.728      25.55
969.414      25.78
974.238      26.10
980.270      26.45
985.295      26.65
