photometry of cepheid V22 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      26.29
943.937      25.66
951.310      25.77
953.659      25.81
956.204      25.79
959.223      25.88
962.309      26.05
965.728      26.29
969.414      26.35
974.238      26.44
980.270      25.38
985.295      25.61
