photometry of cepheid V13 in NGC 1365, Silbermann etal astro-ph/9806017
hel J date
2449000+       V
936.164      25.84
943.937      26.17
951.310      26.62
953.659      26.52
956.204      26.74
959.223      26.73
962.309      26.64
965.728      26.07
969.414      25.80
974.238      25.87
980.270      26.11
985.295      26.27
